codigo,nombre,tipo,naturaleza,nivel,codigo_padre,requiere_tercero,activa
156815,PUENTES,ACT,debit,4,1568,No,Si
15681501,Puentes,ACT,debit,5,156815,Si,Si
156820,CALLES,ACT,debit,4,1568,No,Si
15682001,Calles,ACT,debit,5,156820,Si,Si
156825,AERODROMOS,ACT,debit,4,1568,No,Si
15682501,Aerodromos,ACT,debit,5,156825,Si,Si
156895,OTROS,ACT,debit,4,1568,No,Si
15689501,Otros,ACT,debit,5,156895,Si,Si
1572,MINAS Y CANTERAS,ACT,debit,3,15,No,Si
157205,MINAS,ACT,debit,4,1572,No,Si
15720501,Minas,ACT,debit,5,157205,Si,Si
157210,CANTERAS,ACT,debit,4,1572,No,Si
15721001,Canteras,ACT,debit,5,157210,Si,Si
1576,POZOS ARTESIANOS,ACT,debit,3,15,No,Si
1580,YACIMIENTOS,ACT,debit,3,15,No,Si
1584,SEMOVIENTES,ACT,debit,3,15,No,Si
1588,PROPIEDADES- PLANTA Y EQUIPO EN TRANSITO,ACT,debit,3,15,No,Si
158805,MAQUINARIA Y EQUIPO,ACT,debit,4,1588,No,Si
15880501,Maquinaria Y Equipo,ACT,debit,5,158805,Si,Si
158810,EQUIPO DE OFICINA,ACT,debit,4,1588,No,Si
15881001,Equipo De Oficina,ACT,debit,5,158810,Si,Si
158815,EQUIPO DE COMPUTACION Y COMUNICACION,ACT,debit,4,1588,No,Si
15881501,Equipo De Computacion Y Comunicacion,ACT,debit,5,158815,Si,Si
158820,EQUIPO MEDICO-CIENTIFICO,ACT,debit,4,1588,No,Si
15882001,Equipo Medico-Cientifico,ACT,debit,5,158820,Si,Si
158825,EQUIPO DE HOTELES Y RESTAURANTES,ACT,debit,4,1588,No,Si
15882501,Equipo De Hoteles Y Restaurantes,ACT,debit,5,158825,Si,Si
158830,FLOTA Y EQUIPO DE TRANSPORTE,ACT,debit,4,1588,No,Si
15883001,Flota Y Equipo De Transporte,ACT,debit,5,158830,Si,Si
158835,FLOTA Y EQUIPO FLUVIAL Y/O MARITIMO,ACT,debit,4,1588,No,Si
15883501,Flota Y Equipo Fluvial Y/O Maritimo,ACT,debit,5,158835,Si,Si
158840,FLOTA Y EQUIPO AEREO,ACT,debit,4,1588,No,Si
